generation;best;worst;avarage
1;304759;-7878686;-530834
2;310046;-9301821;-1114942
3;310046;-11331132;-1517305
4;226975;-11426279;-842750
5;186839;-12034121;-786363
6;205893;-14550495;-1203830
7;221266;-14550495;-1370980
8;202072;-14549386;-587146
9;292828;-14549386;-1454031
10;288928;-14549386;-1832193
11;316735;-14549386;-1824201
12;245757;-14549375;-1695639
13;290437;-15705655;-1396246
14;293868;-15785175;-2414256
15;297766;-15612007;-2773075
16;299584;-15255887;-2553410
17;314086;-14955113;-3054924
18;306290;-14185222;-2616691
19;306776;-13858488;-3374961
20;295002;-13547751;-3565562
21;250388;-13398586;-3857332
22;295015;-14663972;-3729569
23;225490;-15758715;-5768480
24;232751;-15365181;-5048720
25;317172;-14344956;-4911083
26;225549;-14337889;-4863747
27;283783;-13457820;-4421529
28;242760;-14493427;-4309225
29;298681;-13456955;-5097624
30;223435;-14026951;-5609388
31;297238;-13813409;-5126754
32;299095;-14191124;-5178352
33;257354;-13940056;-5344372
34;317911;-14643378;-4125286
35;323103;-14186158;-3695315
36;240206;-14476701;-4153142
37;234226;-14701157;-3921245
38;278654;-13792724;-3105822
39;262616;-14217331;-3237520
40;328313;-15289479;-2930948
41;327602;-14681609;-2221148
42;287990;-13972922;-1873842
43;277608;-14002550;-2184873
44;297468;-14294736;-2037304
45;300988;-14431976;-2398057
46;315613;-13809750;-789032
47;325309;-11183057;-585282
48;322065;-12490947;-980427
49;337895;-12391694;-1276315
50;317921;-14534646;-612465
51;317499;-12441847;-584016
52;323077;-12187704;-237709
53;320088;-13371587;-457979
54;307319;-12111329;-787714
55;273520;-15231323;-726151
56;291977;-12859702;-823511
57;311607;-13956775;-857989
58;290409;-13673421;-502659
59;302814;-11616931;-398455
60;302483;-14411338;-420895
61;313793;-2137724;113409
62;311732;-7266534;-530
63;310613;-1803020;110462
64;339029;-13415;143094
65;339029;-1785351;126338
66;333985;-257502;139866
67;332419;-1630239;111853
68;325945;-1629344;85908
69;325945;-1585485;106484
70;317828;-1584751;104754
71;319162;-1585140;48483
72;314440;-1482966;65201
73;314721;-979255;63729
74;319572;-977582;42500
75;314932;-983502;38469
76;208661;-977121;35956
77;209261;-1344980;54351
78;207921;-512558;93864
79;208011;51955;103201
80;206499;-130329;91468
81;185754;-695267;81132
82;196141;-9472237;-83742
83;191082;-9535164;-8575
84;200096;-9624471;-129795
85;220345;-9995140;-120808
86;220345;-9492931;-167346
87;223531;-2460600;57592
88;291749;-970319;72743
89;291749;-572061;93432
90;229058;-1095413;86473
91;294212;28956;109118
92;230097;-488284;106157
93;230097;-494558;101646
94;333745;28856;102958
95;217272;-630958;82219
96;217272;-6211406;-496
97;216793;-4132914;44843
98;219607;22073;99181
99;229393;20735;88840
100;207668;23229;84303
