generation;best;worst;avarage
1;2544569;2288119;2404220
2;2628698;2427370;2504670
3;2637019;2362463;2556163
4;2640711;2609689;2626007
5;2641304;2625165;2637334
6;2651795;2627317;2640538
7;2655589;2626363;2644738
8;2663264;2642862;2654095
9;2668590;2653583;2658483
10;2676270;2652093;2666658
11;2680988;2653371;2673682
12;2688833;2664048;2678506
13;2694615;2662511;2682862
14;2697545;2679730;2689502
15;2709938;2685902;2697251
16;2712868;2691662;2704872
17;2718682;2692132;2710931
18;2718682;2702650;2714509
19;2721231;2697211;2718296
20;2728651;2702030;2719176
21;2735341;2716942;2724885
22;2745020;2714835;2732248
23;2755119;2724273;2740173
24;2755171;2724924;2749539
25;2755654;2733337;2754561
26;2760138;2738732;2754873
27;2764311;2745687;2757456
28;2768562;2744021;2761253
29;2774276;2745958;2765213
30;2783337;2754051;2770913
31;2786930;2763057;2775719
32;2790136;2774689;2785419
33;2799013;2773777;2788803
34;2802219;2764205;2792921
35;2808639;2775385;2798347
36;2815343;2791620;2805464
37;2819471;2786265;2810752
38;2824788;2801458;2816849
39;2829873;2799248;2821135
40;2832598;2811298;2828588
41;2835377;2815793;2830556
42;2848318;2809825;2833430
43;2851862;2810299;2837754
44;2851862;2835459;2850349
45;2857490;2838174;2851740
46;2863226;2837642;2853019
47;2865021;2843969;2858277
48;2870188;2844333;2863407
49;2880867;2840670;2867287
50;2887829;2858099;2874419
51;2888362;2870162;2883453
52;2891630;2881910;2888125
53;2894109;2875406;2889447
54;2894794;2872950;2892105
55;2898561;2881281;2894436
56;2899980;2870971;2895040
57;2906163;2881736;2899394
58;2908991;2879369;2901230
59;2910762;2888929;2906693
60;2912171;2887067;2908482
61;2914583;2890359;2911202
62;2917853;2891885;2912802
63;2920472;2884649;2915816
64;2924842;2902023;2918825
65;2936369;2903570;2921856
66;2936369;2913373;2927325
67;2943502;2921566;2935924
68;2947365;2911726;2937615
69;2947365;2919352;2943455
70;2952807;2928095;2946811
71;2957247;2933429;2948372
72;2961397;2937774;2954061
73;2961397;2944181;2957761
74;2962241;2934161;2960451
75;2970760;2939354;2961010
76;2973422;2954254;2963923
77;2974859;2956439;2971240
78;2977830;2958442;2973722
79;2980593;2950983;2975561
80;2980593;2953911;2978815
81;2984156;2953745;2980184
82;2984156;2963740;2980794
83;2986371;2972729;2983907
84;2990354;2966470;2984110
85;2993636;2962652;2987031
86;2995200;2964325;2991585
87;2999222;2979308;2993683
88;3004381;2979097;2995532
89;3006063;2978736;3000410
90;3006063;2980701;3004099
91;3008314;2995436;3005544
92;3009073;2982075;3005651
93;3010433;2986367;3007722
94;3013665;2992584;3009453
95;3017998;2989683;3009620
96;3029933;2995896;3013099
97;3037498;2994943;3019552
98;3039830;3017535;3033769
99;3039830;3017565;3037408
100;3040368;3028581;3039367
