generation;best;worst;avarage
1;5910;-6501;-1506
2;8059;-4674;2407
3;8554;-15;5543
4;9408;7432;8196
5;9904;6930;8594
6;10054;4126;9786
7;10097;8489;9863
8;10132;7438;9939
9;10155;7696;10055
10;10522;7906;10049
11;10662;8606;10165
12;10915;7656;10364
13;12049;8989;10705
14;12098;6640;10987
15;12329;9802;11777
16;12650;10728;12163
17;12703;5688;12340
18;12918;7430;12478
19;12979;7399;12597
20;13194;8685;12804
21;13663;11342;12970
22;13879;7327;13126
23;13879;11331;13696
24;13879;8259;13754
25;13966;8315;13688
26;13966;11063;13834
27;13966;8322;13832
28;13967;11119;13842
29;13967;9588;13845
30;13995;8167;13821
31;14033;11878;13922
32;14142;11513;13911
33;14399;11423;14002
34;14436;8772;13999
35;14797;10734;14289
36;14797;11831;14406
37;15034;12698;14704
38;15034;12702;14745
39;15103;13134;14927
40;15103;12275;14947
41;15167;10049;14991
42;15194;9961;14980
43;15544;13063;15097
44;15558;13288;15316
45;15558;13630;15510
46;15564;13096;15472
47;15575;11556;15428
48;15575;13354;15462
49;16259;13253;15521
50;16385;11066;15588
51;16406;13689;16241
52;16406;14804;16329
53;16406;12846;16298
54;16409;12990;16240
55;16409;9605;16120
56;16409;14332;16295
57;16475;13448;16295
58;16475;13755;16349
59;16475;12107;16265
60;16475;14843;16414
61;16563;9090;16330
62;16577;14271;16354
63;16697;13759;16441
64;16999;15593;16623
65;17119;11090;16704
66;17317;14029;16993
67;17317;14910;17042
68;17317;15692;17216
69;17317;15103;17257
70;17317;12816;17202
71;17317;14560;17241
72;17317;14572;17239
73;17317;11296;17109
74;17317;14708;17202
75;17406;11403;17129
76;17474;15490;17289
77;17563;14910;17273
78;17563;14547;17439
79;17662;14494;17471
80;17662;14547;17478
81;17662;12978;17472
82;17662;14108;17492
83;17695;13670;17521
84;17708;12341;17476
85;17708;13414;17592
86;17708;14377;17557
87;17708;14708;17564
88;17708;13427;17501
89;17968;11982;17484
90;18003;12968;17510
91;18003;11689;17776
92;18003;11671;17855
93;18020;14904;17856
94;18079;13236;17895
95;18079;15859;17928
96;18079;15291;17937
97;18079;14701;17930
98;18079;14205;17956
99;18079;11008;17891
100;18136;15655;18011
