generation;best;worst;avarage
1;33924;-272230;-24297
2;28206;-279618;-25919
3;28630;-258450;-29946
4;32610;-231667;-11809
5;33046;-193649;-19677
6;24334;-271116;-21504
7;31054;-148851;-22669
8;24769;-175275;-22360
9;26484;-229252;-36543
10;31509;-269835;-42785
11;31509;-294512;-38084
12;31509;-315161;-43417
13;25977;-294512;-47784
14;25900;-321464;-52194
15;30132;-303986;-56870
16;36564;-303986;-55185
17;32655;-303670;-54741
18;28466;-298267;-54678
19;28176;-308993;-53040
20;28951;-300822;-38389
21;33607;-292993;-13137
22;33695;-261036;-13803
23;26476;-183301;-12594
24;32669;-250215;-18044
25;30315;-191563;-9209
26;30315;-158164;-5993
27;28424;-159783;-13601
28;29201;-110441;-11338
29;32517;-244563;-18712
30;21104;-269174;-30069
31;22448;-244500;-13154
32;21711;-257065;-13717
33;21711;-214782;-18930
34;28884;-232014;-31303
35;25201;-245480;-32933
36;22303;-278617;-38858
37;25648;-278617;-38007
38;28630;-278617;-28696
39;22344;-318439;-19531
40;38052;-213782;-14375
41;16625;-282675;-11747
42;28944;-282675;-9217
43;37009;-282664;-10901
44;27667;-289238;-9806
45;27767;-282449;-8543
46;27767;-282449;-10437
47;28504;-282595;-10721
48;26120;-165359;-3518
49;26425;-195840;3410
50;26736;-238816;-866
51;27390;-204509;606
52;27849;-178568;-4276
53;27849;-215232;24
54;26369;-117586;947
55;28310;-113898;-443
56;28790;-237984;-529
57;26369;-179391;96
58;29163;-115788;-2281
59;27794;-167316;-1064
60;28704;-281187;-162
61;26165;-317659;-8146
62;26165;-280033;881
63;23508;-280033;-1613
64;27524;-202895;-4723
65;27524;-202113;-12554
66;30622;-203587;-11718
67;27059;-202276;-18396
68;29795;-163881;-11833
69;36792;-210205;-7021
70;30390;-314080;-7530
71;31471;-110172;1250
72;29169;-159076;-5613
73;22218;-159076;-11164
74;24761;-103368;-7961
75;36053;-91046;-8452
76;22342;-159264;-10021
77;28022;-159856;-11807
78;30591;-159264;-18619
79;23874;-158676;-16616
80;26079;-101394;-11934
81;28238;-183033;-22397
82;26756;-81980;-21340
83;27876;-206248;-35379
84;27876;-227508;-33919
85;26445;-241547;-40620
86;27070;-291320;-48017
87;26343;-291320;-59289
88;25257;-128196;-50935
89;23778;-102086;-48088
90;24071;-240656;-48629
91;28028;-156066;-41465
92;25554;-266116;-35981
93;28077;-266116;-42003
94;22263;-266731;-48692
95;23857;-147805;-33321
96;26656;-289014;-39584
97;26647;-129953;-22854
98;23722;-325484;-29827
99;27201;-325484;-41517
100;22651;-280981;-43276
